课程代码,课程名称,学分,课程性质,建议修读学期,大类/模块,是否必修,备注
601112101,思想道德与法治,3,通识必修,一秋/一春,,True,
601113101,中国近现代史纲要,3,通识必修,一秋/一春,,True,
601114101,马克思主义基本原理,3,通识必修,二秋/二春,,True,
601115101,毛泽东思想和中国特色社会主义理论体系概论,3,通识必修,二秋/二春,,True,
601116101,习近平新时代中国特色社会主义思想概论,3,通识必修,二秋/二春,,True,
601117101,形势与政策,2,通识必修,一二三年级,,True,
061001001,大学体育Ⅰ,1,通识必修,一秋,,True,
061001002,大学体育Ⅱ,1,通识必修,一春,,True,
061001003,大学体育Ⅲ,1,通识必修,二秋,,True,
061001004,大学体育Ⅳ,1,通识必修,二春,,True,
061003001,国家学生体质健康标准测试,0.0,通识必修,四春,,True,
761002311,军事训练,2,通识必修,一秋,,True,
761002312,国防教育,2,通识必修,二秋,,True,
601118001,国家安全教育,1,通识必修,一秋,,True,
,大学外语（基础拓展）,3,通识必修,一秋,,True,
,大学外语（进阶拓展）,3,通识必修,一春,,True,
,大学外语（高阶课程）,2,通识必修,二三年级,,True,
104000001,大学生心理健康教育,1,通识必修,一春,,True,
761001401,大学生职业发展与就业指导,1,通识必修,二秋/三秋,,True,
,通识选修：艺术鉴赏与审美体验,2,通识选修,春秋滚动,通识选修,False,必修 2 学分
,通识选修：人工智能与现代生活,2,通识选修,春秋滚动,通识选修,False,必修 2 学分
,通识选修：“四史教育”专题,1,通识选修,春秋滚动,通识选修,False,4 选 1，1 学分
,通识选修：习近平总书记关于教育的重要论述研究,2,通识选修,春秋滚动,通识选修,False,师范生必修 2 学分
,通识选修：其他通识课程,3,通识选修,春秋滚动,通识选修,False,补足通识选修至 10 学分
024902061,高等数学 A1,5,专业基础,一秋,,True,
024903063,线性代数 A3,3,专业基础,一秋,,True,
2240011A1,计算机科学导论,2,专业基础,一秋,,True,
024902062,高等数学 A2,4,专业基础,一春,,True,
2240001A1,程序设计基础,4,专业基础,一秋,,True,
2241411A1,计算机网络,3,专业核心,三秋,,True,
224428101,★数据结构,3,专业核心,二秋,,True,
2241241A1,★操作系统,3.5,专业核心,二春,,True,
224429101,计算机组成与系统结构,3,专业核心,二秋,,True,
224430102,数据库原理,3,专业核心,二春,,True,
104107001,教师职业道德与教育法规,1,专业核心,二秋,,True,
104102001,心理学基础,2,专业核心,二秋,,True,
104101001,教育学基础,2,专业核心,二春,,True,
104103002,班主任与班级管理,2,专业核心,三秋,,True,
224432101,信息科技学科教学论,2,专业核心,三秋,,True,
224431102,信息科技课堂教学技能训练,2,专业核心,三春,,True,
024908002,数智教育技术,2,专业核心,二春,,True,
225666002,离散数学,3,专业限选,一春,,True,
2251601A1,人工智能,2.5,专业限选,三秋,,True,
2251171A1,Python程序设计,3,专业限选,一春,,True,
225662102,中小学人工智能教学,2.5,主修专业选修,三春,人工智能+模块,False,
225664101,教育机器人,2.5,主修专业选修,三春,人工智能+模块,False,
225667002,大语言模型原理与应用,1.5,主修专业选修,三春,人工智能+模块,False,
225621102,神经网络和深度学习,2.5,主修专业选修,三秋,人工智能+模块,False,
225680102,Web应用开发,3,主修专业选修,二春,高级软件技术模块,False,
225668101,编译原理,3.5,主修专业选修,三秋,高级软件技术模块,False,
2251911A1,移动应用开发（Android）,3,主修专业选修,三秋,高级软件技术模块,False,
225665102,算法设计与分析,2.5,主修专业选修,二春,高级软件技术模块,False,
2251951A1,Java程序设计,3,主修专业选修,二秋,高级软件技术模块,False,
225620102,UI与交互设计,3,主修专业选修,二春/三秋,数字媒体技术模块,False,
225681101,多媒体应用开发,2.5,主修专业选修,二秋,数字媒体技术模块,False,
225669102,计算机图形学,2.5,主修专业选修,二春,数字媒体技术模块,False,
225693101,三维动画设计与制作,3,主修专业选修,三秋,数字媒体技术模块,False,
225197101,数字图像处理,3,主修专业选修,三春,数字媒体技术模块,False,
225670101,信息安全竞赛,2,主修专业选修,一秋,信息安全模块,False,
2251791A1,网络安全,2,主修专业选修,三秋,信息安全模块,False,
225066301,信息安全工程,1,主修专业选修,三春,信息安全模块,False,
225671002,应用密码学,3,主修专业选修,二春,信息安全模块,False,
225672101,安全协议及应用,2.5,主修专业选修,三秋,信息安全模块,False,
024906001,概率与数理统计,3,主修专业选修,二秋,专业任选课,False,
2251121A1,C++程序设计,3,主修专业选修,一春,专业任选课,False,
2251751A1,数字逻辑,3.5,主修专业选修,一春,专业任选课,False,
2251391A1,计算机辅助教学,2.5,主修专业选修,二春,专业任选课,False,
2251151A1,Linux程序设计,1.5,主修专业选修,二春,专业任选课,False,
2251221A1,Web 服务器端开发,3,主修专业选修,三秋,专业任选课,False,
2251611A1,人机交互与虚拟现实,2.5,主修专业选修,三秋,专业任选课,False,
225676102,大规模数据挖掘,2.5,主修专业选修,三春,专业任选课,False,
2254003A1,◆信息学竞赛,2,主修专业选修,三春,专业任选课,False,
225614001,物联网概论,2,主修专业选修,三春,专业任选课,False,
225663102,软件工程,3,主修专业选修,三春,专业任选课,False,
225686202,网络工程,1.5,主修专业选修,三春,专业任选课,False,
225675101,计算机视觉,2.5,主修专业选修,三秋,专业任选课,False,
2251931A1,云计算与大数据,2.5,主修专业选修,三秋,专业任选课,False,
225674001,高级数据结构,2,主修专业选修,三秋,专业任选课,False,
104106001,教育研究方法,2,教育选修,三秋,教师教育类,False,
100000011,教师成长案例研究,1,教育选修,春秋滚动,教师教育类,False,
100000015,教学智慧和教学艺术,1,教育选修,春秋滚动,教师教育类,False,
100000022,中学生学习和发展心理专题,1,教育选修,春秋滚动,教师教育类,False,
100000008,学生品德发展与道德教育,1,教育选修,春秋滚动,教师教育类,False,
100000023,学生问题诊断与矫正,1,教育选修,春秋滚动,教师教育类,False,
100000024,中学生职业生涯规划,1,教育选修,春秋滚动,教师教育类,False,
100000025,中学德育、课程与教学专题,1,教育选修,三春,教师教育类,False,
100000028,中外教育史专题,1,教育选修,春秋滚动,教师教育类,False,
100000026,国际教育改革动态,1,教育选修,春秋滚动,教师教育类,False,
100000010,学校教育法律问题案例研究,1,教育选修,春秋滚动,教师教育类,False,
100000027,校本课程开发,1,教育选修,春秋滚动,教师教育类,False,
295254001,STEAM 项目开发,2,教育选修,三春,教师教育类,False,
224445302,AI 时代的专业劳动教育,2,专业实践,二春,,True,
224434302,科研实务,2,专业实践,三春,,True,
224435302,互联网创新创业,2,专业实践,三春,,True,
224437301,教育见习,2,专业实践,二秋/三秋,,True,
224448301,教育实习,8,专业实践,四秋,,True,
224436302,毕业论文（设计）,8,专业实践,四春/秋,,True,
,Ⅱ类学分：劳动教育类,2,Ⅱ类学分,,Ⅱ类,False,不少于 2 学分
,Ⅱ类学分：社会实践类,2,Ⅱ类学分,,Ⅱ类,False,不高于/计入 2 学分
