课程代码,课程名称,学分,课程性质,建议修读学期,大类/模块,是否必修,备注
601112101,思想道德与法治,3,通识必修,一秋/一春,,True,
601113101,中国近现代史纲要,3,通识必修,一秋/一春,,True,
601114101,马克思主义基本原理,3,通识必修,二秋/二春,,True,
601115101,毛泽东思想和中国特色社会主义理论体系概论,3,通识必修,二秋/二春,,True,
601116101,习近平新时代中国特色社会主义思想概论,3,通识必修,二秋/二春,,True,
601117101,形势与政策,2,通识必修,一二三年级,,True,
061001001,大学体育Ⅰ,1,通识必修,一秋,,True,
061001002,大学体育Ⅱ,1,通识必修,一春,,True,
061001003,大学体育Ⅲ,1,通识必修,二秋,,True,
061001004,大学体育Ⅳ,1,通识必修,二春,,True,
061003001,国家学生体质健康标准测试,0.0,通识必修,四春,,True,
761002311,军事训练,2,通识必修,一秋,,True,
761002312,国防教育,2,通识必修,二秋,,True,
601118001,国家安全教育,1,通识必修,一秋,,True,
,大学外语（基础拓展）,3,通识必修,一秋,,True,
,大学外语（进阶拓展）,3,通识必修,一春,,True,
,大学外语（高阶课程）,2,通识必修,二三年级,,True,
104000001,大学生心理健康教育,1,通识必修,一春,,True,
761001401,大学生职业发展与就业指导,1,通识必修,二秋/三秋,,True,
,通识选修：艺术鉴赏与审美体验,2,通识选修,春秋滚动,通识选修,False,必修 2 学分
,通识选修：人工智能与现代生活,2,通识选修,春秋滚动,通识选修,False,必修 2 学分
,通识选修：“四史教育”专题,1,通识选修,春秋滚动,通识选修,False,必修 1 学分
,通识选修：其他通识课程,5,通识选修,春秋滚动,通识选修,False,补足通识选修至 10 学分
224414001,地理信息科学导论,0.5,专业基础,一秋,,True,
024902061,高等数学A1,5,专业基础,一秋,,True,
024092062,高等数学A2,4,专业基础,一春,,True,
22405D101,C程序设计,2.5,专业基础,一春,,True,
225D20101,自然地理学,3,专业核心,一秋,,True,
224415101,地理信息系统原理,2.5,专业核心,一秋,,True,
225D19101,数字测图原理与方法,3,专业核心,一春,,True,
02412D101,地图学,3,专业核心,一春,,True,
025559001,遥感概论,3,专业核心,一春,,True,
224416101,GIS空间分析,2.5,专业核心,二秋,,True,
224417101,遥感地学分析,3,专业核心,三秋,,True,
024906111,大学物理C,3,主修专业选修,一春,公共基础,False,最低学分 8 学分
024903043,线性代数A3,3,主修专业选修,二秋,公共基础,False,最低学分 8 学分
225D22001,★专业英语,3,主修专业选修,二秋,公共基础,False,最低学分 8 学分
225703101,数据结构,3,主修专业选修,二秋,公共基础,False,最低学分 8 学分
225D24101,数据库原理与应用,2,主修专业选修,二秋,公共基础,False,最低学分 8 学分
024906001,概率与数理统计,3,主修专业选修,二春,公共基础,False,最低学分 8 学分
224104101,面向对象程序设计,2.5,主修专业选修,二春,公共基础,False,最低学分 8 学分
02519D101,计算机图形学,2.5,主修专业选修,二春,公共基础,False,最低学分 8 学分
225D23001,科技写作,2,主修专业选修,二春,公共基础,False,最低学分 8 学分
225639102,开源GIS,2.5,主修专业选修,二春,GIS,False,最低学分 6 学分
225640101,地理信息服务,2.5,主修专业选修,三秋,GIS,False,最低学分 6 学分
024D14001,地理信息科学前沿,2,主修专业选修,三春,GIS,False,最低学分 6 学分
225641102,GIS应用开发,3,主修专业选修,三春,GIS,False,最低学分 6 学分
225642101,★遥感数字图像处理,3,主修专业选修,二秋,遥感,False,最低学分 8 学分
225695101,激光雷达遥感导论,3,主修专业选修,二秋,遥感,False,最低学分 8 学分
225643001,城市生态遥感,2,主修专业选修,三秋,遥感,False,最低学分 8 学分
225644101,智慧生态与遥感产品真实性检验,2,主修专业选修,三秋,遥感,False,最低学分 8 学分
225694102,水环境遥感,2,主修专业选修,三春,遥感,False,最低学分 8 学分
025D11101,遥感程序设计,3,主修专业选修,三春,遥感,False,最低学分 8 学分
225645102,卫星导航定位技术应用,2.5,主修专业选修,二春,测绘,False,最低学分 5 学分
225646102,无人机低空遥感测绘,3,主修专业选修,二春,测绘,False,最低学分 5 学分
225647102,测绘项目管理与案例分析,2.5,主修专业选修,三春,测绘,False,最低学分 5 学分
225D29101,气象学与气候学,2.5,主修专业选修,二秋,地学,False,最低学分 8 学分
02510D101,地貌与第四纪地质,2.5,主修专业选修,二春,地学,False,最低学分 8 学分
225696002,人文地理学,3,主修专业选修,二春,地学,False,最低学分 8 学分
024D16001,中国地理,3,主修专业选修,三秋,地学,False,最低学分 8 学分
225648001,经济地理学,3,主修专业选修,三秋,地学,False,最低学分 8 学分
225649001,地理学理论与方法,2,主修专业选修,三秋,地学,False,最低学分 8 学分
02529D101,城市规划,2.5,主修专业选修,三秋,地学,False,最低学分 8 学分
02537D101,地理教学论,2.5,主修专业选修,三春,地学,False,最低学分 8 学分
025D15101,生态规划,2.5,主修专业选修,三春,地学,False,最低学分 8 学分
225650002,全球变化与环境演变,2,主修专业选修,三春,地学,False,最低学分 8 学分
225651102,Python程序设计,2,主修专业选修,一春,人工智能,False,最低学分 10 学分
225652102,遥感云平台基础与应用,2,主修专业选修,二春,人工智能,False,最低学分 10 学分
225621102,神经网络与深度学习,2.5,主修专业选修,三秋,人工智能,False,最低学分 10 学分
225653101,空间大数据挖掘,3,主修专业选修,三秋,人工智能,False,最低学分 10 学分
225654102,数字摄影测量与计算机视觉,2.5,主修专业选修,三春,人工智能,False,最低学分 10 学分
225655102,遥感影像智能信息提取,2.5,主修专业选修,三春,人工智能,False,最低学分 10 学分
025D20201,◆自然地理野外实训,1,专业实践,一秋,,True,
224420302,科研实务（科学研究技能训练）,2,专业实践,二三年级,,True,
224418302,◆GIS应用大赛实训,1,专业实践,二春,,True,
224449302,专业见习,1,专业实践,二春,,True,
224419301,◆遥感与GIS应用综合实践（创新创业教育）,2,专业实践,三春,,True,
224450301,专业实习,6,专业实践,四秋,,True,
024777301,毕业论文,6,专业实践,四春,,True,
,Ⅱ类学分：劳动教育类,2,Ⅱ类学分,,Ⅱ类,False,不少于 2 学分
,Ⅱ类学分：社会实践类,2,Ⅱ类学分,,Ⅱ类,False,不高于/计入 2 学分
