课程代码,课程名称,学分,建议修读学期,课程性质
601112101,思想道德与法治,3,一秋/一春,通识必修
601113101,中国近现代史纲要,3,一秋/一春,通识必修
601114101,马克思主义基本原理,3,二秋/二春,通识必修
601115101,毛泽东思想和中国特色社会主义理论体系概论,3,二秋/二春,通识必修
601116101,习近平新时代中国特色社会主义思想概论,3,二秋/二春,通识必修
601117101,形势与政策,2,一二三年级/持续开设,通识必修
061001001,大学体育Ⅰ,1,一秋,通识必修
061001002,大学体育Ⅱ,1,一春,通识必修
061001003,大学体育Ⅲ,1,二秋,通识必修
061001004,大学体育Ⅳ,1,二春,通识必修
061003001,国家学生体质健康标准测试,0.0,四春,通识必修
761002311,军事训练,2,一秋,通识必修
761002312,国防教育,2,二秋,通识必修
601118001,国家安全教育,1,一秋,通识必修
104000001,大学生心理健康教育,1,一春,通识必修
761001401,大学生职业发展与就业指导,1,二秋/三秋,通识必修
024902061,高等数学,5,一秋,专业基础
024903063,线性代数,3,一秋,专业基础
2240011A1,计算机科学导论,2,一秋,专业基础
024902062,高等数学,4,一春,专业基础
2240001A1,程序设计基础,4,一秋,专业基础
2241411A1,计算机网络,3,三秋,专业核心
224428101,数据结构,3,二秋,专业核心
2241241A1,操作系统,3.5,二春,专业核心
224429101,计算机组成与系统结构,3,二秋,专业核心
224430102,数据库原理,3,二春,专业核心
104107001,教师职业道德与教育法规,1,二秋,专业核心
104102001,心理学基础,2,二秋,专业核心
104101001,教育学基础,2,二春,专业核心
104103002,班主任与班级管理,2,三秋,专业核心
224432101,信息科技学科教学论,2,三秋,专业核心
224431102,信息科技课堂教学技能训练,2,三春,专业核心
024908002,数智教育技术,2,二春,专业核心
225666002,离散数学,3,一春,专业限选
2251601A1,人工智能,2.5,三秋,专业限选
2251171A1,Python程序设计,3,一春,专业限选
225662102,中小学人工智能教学,2.5,三春,专业限选
225664101,教育机器人,2.5,三春,专业限选
225667002,大语言模型原理与应用,1.5,三春,专业限选
225621102,神经网络和深度学习,2.5,三秋,专业限选
225680102,Web应用开发,3,二春,专业限选
225668101,编译原理,3.5,三秋,专业限选
2251911A1,移动应用开发（Android）,3,三秋,专业限选
225665102,算法设计与分析,2.5,二春,专业限选
2251951A1,Java程序设计,3,二秋,专业限选
225620102,UI与交互设计,3,二春/三秋,专业限选
225681101,多媒体应用开发,2.5,二秋,专业限选
225669102,计算机图形学,2.5,二春,专业限选
225693101,三维动画设计与制作,3,三秋,专业限选
225197101,数字图像处理,3,三春,专业限选
225670101,信息安全竞赛,2,一秋,专业限选
2251791A1,网络安全,2,三秋,专业限选
225066301,信息安全工程,1,三春,专业限选
225671002,应用密码学,3,二春,专业限选
225672101,安全协议及应用,2.5,三秋,专业限选
024906001,概率与数理统计,3,二秋,专业限选
2251121A1,C++程序设计,3,一春,专业限选
2251751A1,数字逻辑,3.5,一春,专业限选
2251391A1,计算机辅助教学,2.5,二春,专业限选
2251151A1,Linux程序设计,1.5,二春,专业限选
2251221A1,Web 服务器端开发,3,三秋,专业限选
2251611A1,人机交互与虚拟现实,2.5,三秋,专业限选
225676102,大规模数据挖掘,2.5,三春,专业限选
2254003A1,信息学竞赛,2,三春,专业限选
225614001,物联网概论,2,三春,专业限选
225663102,软件工程,3,三春,专业限选
225686202,网络工程,1.5,三春,专业限选
225675101,计算机视觉,2.5,三秋,专业限选
2251931A1,云计算与大数据,2.5,三秋,专业限选
225674001,高级数据结构,2,三秋,专业限选
104106001,教育研究方法,2,三秋,教育选修
100000011,教师成长案例研究,1,春、秋,教育选修
100000015,教学智慧和教学艺术,1,春、秋,教育选修
100000022,中学生学习和发展心理专题,1,春、秋,教育选修
100000008,学生品德发展与道德教育,1,春、秋,教育选修
100000023,学生问题诊断与矫正,1,春、秋,教育选修
100000024,中学生职业生涯规划,1,春、秋,教育选修
100000025,中学德育、课程与教学专题,1,三春,教育选修
100000028,中外教育史专题,1,春、秋,教育选修
100000026,国际教育改革动态,1,春、秋,教育选修
100000010,学校教育法律问题案例研究,1,春、秋,教育选修
100000027,校本课程开发,1,春、秋,教育选修
295254001,STEAM 项目开发,2,三春,教育选修
224445302,AI 时代的专业劳动教育,2,二春,专业实践
224434302,科研实务,2,三春,专业实践
224435302,互联网创新创业,2,三春,专业实践
224437301,教育见习,2,二秋/三秋,专业实践
224448301,教育实习,8,四秋,专业实践
224436302,毕业论文（设计）,8,四春或秋,专业实践
